Query_ID,Latency_MS,Rows_Returned,Status
1,1867.93,198395,Success
2,744.87,130104,Success
3,816.39,130104,Success
4,73.17,11698,Success
5,169.16,8,Success
6,169.9,15964,Success
7,101.3,60,Success
8,89.51,13776,Success
9,221.27,19,Success
10,250.28,24272,Success
11,211.26,10,Success
12,93.68,10,Success
13,458.89,87175,Success
14,164.67,10,Success
15,381.22,56269,Success
16,91,10,Success
17,75.87,7231,Success
18,182.11,8,Success
19,172.39,4802,Success
20,115.81,60,Success
21,98.7,8243,Success
22,426.03,5,Success
23,1410.19,39347,Success
24,164,5,Success
25,450.39,65874,Success
26,101.64,5,Success
27,73.99,2483,Success
28,161.53,5,Success
29,180.47,12623,Success
30,100.69,24,Success
31,105.89,2877,Success
