System,Query,K,Recall,Latency
PostgreSQL,Q1,10,100.0,92
PostgreSQL,Q1,20,95.0,30
PostgreSQL,Q1,30,93.0,28
PostgreSQL,Q1,50,88.0,38
PostgreSQL,Q1,100,88.0,31
PostgreSQL,Q1,200,93.0,26
PostgreSQL,Q9,10,100.0,236
PostgreSQL,Q9,20,100.0,187
PostgreSQL,Q9,30,100.0,173
PostgreSQL,Q9,50,100.0,151
PostgreSQL,Q9,100,100.0,175
PostgreSQL,Q9,200,98.5,179
PostgreSQL,Q16,10,20.0,68
PostgreSQL,Q16,20,50.0,17
PostgreSQL,Q16,30,66.0,15
PostgreSQL,Q16,50,76.0,17
PostgreSQL,Q16,100,88.0,17
PostgreSQL,Q16,200,91.5,16
SQL Server,Q1,10,100.0,8
SQL Server,Q1,20,100.0,14
SQL Server,Q1,30,100.0,16
SQL Server,Q1,50,100.0,15
SQL Server,Q1,100,100.0,23
SQL Server,Q1,200,100.0,39
SQL Server,Q9,10,100.0,33
SQL Server,Q9,20,100.0,20
SQL Server,Q9,30,100.0,31
SQL Server,Q9,50,100.0,40
SQL Server,Q9,100,100.0,41
SQL Server,Q9,200,95.0,68
SQL Server,Q16,10,100.0,48
SQL Server,Q16,20,100.0,15
SQL Server,Q16,30,100.0,16
SQL Server,Q16,50,100.0,31
SQL Server,Q16,100,100.0,35
SQL Server,Q16,200,95.0,76
